Ticket;Open;Time;Type;Size;Item;Price;S,L;T,P;Close;Time;Price;Commission;Taxes;Swap;
16856998;10,09,2021;10:39:00;sell;0,05;eurusd;1,18426;0;1,18345;10,09,2021;12:56:53;1,18345;-0,21;0;0;
16804834;08,09,2021;19:14:00;sell;0,05;eurusd;1,18256;0;1,18168;08,09,2021;23:02:40;1,18168;-0,21;0;0;
16784628;08,09,2021;11:35:06;buy;0,05;eurusd;1,18183;0;1,18269;08,09,2021;15:04:01;1,18269;-0,2;0;0;
16775749;08,09,2021;09:06:00;buy;0,05;eurusd;1,18334;0;1,18424;08,09,2021;10:24:05;1,18424;-0,2;0;0;
16751243;07,09,2021;16:12:01;buy;0,05;eurusd;1,18485;0;1,18585;07,09,2021;16:38:31;1,18585;-0,2;0;0;
17556658;01,10,2021;18:48:00;sell;0,04;eurusd;1,16029;0;1,15983;04,10,2021;04:41:14;1,15983;-0,16;0;-0,01;
17543246;01,10,2021;14:23:03;sell;0,04;eurusd;1,15936;0;1,15928;01,10,2021;17:04:09;1,15928;-0,16;0;0;
17533608;01,10,2021;10:02:02;sell;0,04;eurusd;1,15889;0;1,15756;01,10,2021;11:03:21;1,15756;-0,16;0;0;
17519196;30,09,2021;22:00:01;sell;0,04;eurusd;1,15845;0;1,15711;01,10,2021;03:11:47;1,15711;-0,16;0;-0,01;
17511016;30,09,2021;19:13:00;buy;0,04;eurusd;1,15697;0;1,15802;30,09,2021;21:50:29;1,15802;-0,16;0;0;
17439096;29,09,2021;10:07:01;buy;0,04;eurusd;1,16612;0;1,15958;30,09,2021;16:34:26;1,15958;-0,16;0;-0,17;
17425181;28,09,2021;19:24:00;sell;0,04;eurusd;1,16895;0;1,16762;28,09,2021;21:12:26;1,16762;-0,16;0;0;
17420563;28,09,2021;17:57:00;buy;0,04;eurusd;1,16764;0;1,1686;28,09,2021;18:36:56;1,1686;-0,16;0;0;
17417503;28,09,2021;17:24:01;sell;0,04;eurusd;1,16919;0;1,16832;28,09,2021;17:43:44;1,16832;-0,16;0;0;
17389250;28,09,2021;09:27:00;buy;0,04;eurusd;1,16823;0;1,16872;28,09,2021;10:59:58;1,16872;-0,16;0;0;
17380822;28,09,2021;03:39:00;buy;0,04;eurusd;1,16915;0;1,17004;28,09,2021;08:00:52;1,17004;-0,16;0;0;
17351474;27,09,2021;11:00:03;buy;0,04;eurusd;1,16933;0;1,17042;27,09,2021;13:42:48;1,17042;-0,16;0;0;
17196903;21,09,2021;17:10:01;buy;0,04;eurusd;1,1721;0;1,17308;21,09,2021;21:02:11;1,17308;-0,16;0;0;
17187001;21,09,2021;14:44:00;sell;0,04;eurusd;1,17444;0;1,17349;21,09,2021;15:42:28;1,17349;-0,16;0;0;
17179460;21,09,2021;10:50:00;buy;0,04;eurusd;1,17189;0;1,17336;21,09,2021;11:40:51;1,17336;-0,16;0;0;
17156159;20,09,2021;17:09:00;sell;0,04;eurusd;1,17225;0;1,17244;21,09,2021;10:37:41;1,17244;-0,16;0;-0,01;
17101766;17,09,2021;16:16:00;buy;0,04;eurusd;1,17641;0;1,17174;20,09,2021;16:17:59;1,17174;-0,16;0;-0,17;
17041934;16,09,2021;09:32:01;buy;0,04;eurusd;1,18019;0;1,17678;16,09,2021;17:51:50;1,17678;-0,16;0;0;
17018141;15,09,2021;15:54:00;buy;0,04;eurusd;1,18095;0;1,18228;15,09,2021;17:58:11;1,18228;-0,16;0;0;
17006950;15,09,2021;10:54:00;sell;0,04;eurusd;1,18181;0;1,18143;15,09,2021;15:49:30;1,18143;-0,16;0;0;
16979908;14,09,2021;16:40:01;buy;0,04;eurusd;1,18256;0;1,18166;15,09,2021;10:35:01;1,18166;-0,16;0;-0,17;
16975876;14,09,2021;15:56:01;sell;0,04;eurusd;1,18446;0;1,18293;14,09,2021;16:34:37;1,18293;-0,16;0;0;
16919451;13,09,2021;16:26:00;sell;0,04;eurusd;1,17949;0;1,18121;14,09,2021;12:42:11;1,18121;-0,16;0;-0,01;
16864556;10,09,2021;13:35:00;buy;0,04;eurusd;1,18305;0;1,17879;13,09,2021;16:19:09;1,17879;-0,16;0;-0,17;
16856058;10,09,2021;10:26:00;sell;0,04;eurusd;1,18378;0;1,18345;10,09,2021;12:56:53;1,18345;-0,16;0;0;
16804569;08,09,2021;19:10:00;sell;0,04;eurusd;1,18214;0;1,18168;08,09,2021;23:02:40;1,18168;-0,16;0;0;
16798772;08,09,2021;17:32:00;buy;0,04;eurusd;1,1805;0;1,18188;08,09,2021;18:49:46;1,18188;-0,16;0;0;
16783607;08,09,2021;11:21:01;buy;0,04;eurusd;1,18226;0;1,18269;08,09,2021;15:04:01;1,18269;-0,16;0;0;
16774317;08,09,2021;08:34:01;buy;0,04;eurusd;1,18379;0;1,18424;08,09,2021;10:24:05;1,18424;-0,16;0;0;
16749517;07,09,2021;15:51:01;buy;0,04;eurusd;1,18534;0;1,18585;07,09,2021;16:38:31;1,18585;-0,16;0;0;
16726940;07,09,2021;04:22:28;sell;0,04;eurusd;1,18821;0;1,18695;07,09,2021;09:27:14;1,18695;-0,16;0;0;
17405816;28,09,2021;14:43:02;sell;0,03;eurusd;1,16897;0;1,16767;28,09,2021;15:20:00;1,16767;-0,12;0;0;
17594021;04,10,2021;16:16:01;buy;0,03;eurusd;1,16245;0;1,16372;04,10,2021;17:09:58;1,16372;-0,12;0;0;
17570646;04,10,2021;06:41:00;buy;0,03;eurusd;1,1589;0;1,16017;04,10,2021;09:31:59;1,16017;-0,12;0;0;
17552603;01,10,2021;17:13:00;sell;0,03;eurusd;1,15988;0;1,15983;04,10,2021;04:41:14;1,15983;-0,12;0;-0,01;
17542547;01,10,2021;14:10:01;sell;0,03;eurusd;1,15892;0;1,15928;01,10,2021;17:04:09;1,15928;-0,12;0;0;
17536149;01,10,2021;11:12:00;buy;0,03;eurusd;1,15754;0;1,15887;01,10,2021;14:06:40;1,15887;-0,12;0;0;
17532701;01,10,2021;09:50:03;sell;0,03;eurusd;1,15843;0;1,15756;01,10,2021;11:03:21;1,15756;-0,12;0;0;
17524392;01,10,2021;03:52:00;buy;0,03;eurusd;1,15674;0;1,15801;01,10,2021;07:58:17;1,15801;-0,12;0;0;
17518664;30,09,2021;21:51:00;sell;0,03;eurusd;1,158;0;1,15711;01,10,2021;03:11:47;1,15711;-0,12;0;-0,01;
17515001;30,09,2021;20:19:01;sell;0,03;eurusd;1,15781;0;1,15653;30,09,2021;20:50:17;1,15653;-0,12;0;0;
17509229;30,09,2021;18:47:00;buy;0,03;eurusd;1,15757;0;1,15802;30,09,2021;21:50:29;1,15802;-0,12;0;0;
17501122;30,09,2021;17:01:01;buy;0,03;eurusd;1,15804;0;1,15939;30,09,2021;17:34:27;1,15939;-0,12;0;0;
17498986;30,09,2021;16:35:02;sell;0,03;eurusd;1,15956;0;1,15814;30,09,2021;17:00:55;1,15814;-0,12;0;0;
17486714;30,09,2021;11:04:00;sell;0,03;eurusd;1,16095;0;1,1596;30,09,2021;13:00:30;1,1596;-0,12;0;0;
17452858;29,09,2021;15:23:02;sell;0,03;eurusd;1,1657;0;1,16433;29,09,2021;15:52:26;1,16433;-0,12;0;0;
17438330;29,09,2021;10:02:00;buy;0,03;eurusd;1,16732;0;1,15958;30,09,2021;16:34:26;1,15958;-0,12;0;-0,13;
17423568;28,09,2021;18:35:00;sell;0,03;eurusd;1,1685;0;1,16762;28,09,2021;21:12:26;1,16762;-0,12;0;0;
17419723;28,09,2021;17:44:01;buy;0,03;eurusd;1,16823;0;1,1686;28,09,2021;18:36:56;1,1686;-0,12;0;0;
17416860;28,09,2021;17:19:00;sell;0,03;eurusd;1,16865;0;1,16832;28,09,2021;17:43:44;1,16832;-0,12;0;0;
17411061;28,09,2021;15:55:00;buy;0,03;eurusd;1,16731;0;1,16862;28,09,2021;16:07:02;1,16862;-0,12;0;0;
17399213;28,09,2021;12:41:01;buy;0,03;eurusd;1,16744;0;1,16871;28,09,2021;14:33:07;1,16871;-0,12;0;0;
17388738;28,09,2021;09:20:00;buy;0,03;eurusd;1,16884;0;1,16872;28,09,2021;10:59:58;1,16872;-0,12;0;0;
17379045;27,09,2021;23:59:00;buy;0,03;eurusd;1,16956;0;1,17004;28,09,2021;08:00:52;1,17004;-0,12;0;-0,13;
17370122;27,09,2021;17:19:00;sell;0,03;eurusd;1,17093;0;1,16955;27,09,2021;23:58:40;1,16955;-0,12;0;0;
17362155;27,09,2021;14:55:02;buy;0,03;eurusd;1,16912;0;1,1704;27,09,2021;15:38:36;1,1704;-0,12;0;0;
17350150;27,09,2021;10:46:01;buy;0,03;eurusd;1,1701;0;1,17042;27,09,2021;13:42:48;1,17042;-0,12;0;0;
17196318;21,09,2021;17:07:01;buy;0,03;eurusd;1,17257;0;1,17308;21,09,2021;21:02:11;1,17308;-0,12;0;0;
17186677;21,09,2021;14:39:00;sell;0,03;eurusd;1,17393;0;1,17349;21,09,2021;15:42:28;1,17349;-0,12;0;0;
17177498;21,09,2021;10:06:00;buy;0,03;eurusd;1,17259;0;1,17336;21,09,2021;11:40:51;1,17336;-0,12;0;0;
17153180;20,09,2021;16:19:00;sell;0,03;eurusd;1,17178;0;1,17244;21,09,2021;10:37:40;1,17244;-0,12;0;-0,01;
17101174;17,09,2021;16:12:03;buy;0,03;eurusd;1,17688;0;1,17174;20,09,2021;16:17:59;1,17174;-0,12;0;-0,13;
17087656;17,09,2021;10:13:00;sell;0,03;eurusd;1,17816;0;1,17686;17,09,2021;11:02:21;1,17686;-0,12;0;0;
17076316;16,09,2021;20:34:01;buy;0,03;eurusd;1,17547;0;1,17677;16,09,2021;22:04:03;1,17677;-0,12;0;0;
17039372;16,09,2021;08:37:00;buy;0,03;eurusd;1,18063;0;1,17678;16,09,2021;17:51:50;1,17678;-0,12;0;0;
17032727;15,09,2021;23:04:00;sell;0,03;eurusd;1,18175;0;1,18051;16,09,2021;08:50:21;1,18051;-0,12;0;-0,01;
17017820;15,09,2021;15:50:00;buy;0,03;eurusd;1,18141;0;1,18228;15,09,2021;17:58:11;1,18228;-0,12;0;0;
17005793;15,09,2021;10:21:10;sell;0,03;eurusd;1,18137;0;1,18143;15,09,2021;15:49:30;1,18143;-0,12;0;0;
16979445;14,09,2021;16:35:01;buy;0,03;eurusd;1,183;0;1,18166;15,09,2021;10:35:00;1,18166;-0,12;0;-0,13;
16972300;14,09,2021;15:34:01;sell;0,03;eurusd;1,18392;0;1,18293;14,09,2021;16:34:37;1,18293;-0,12;0;0;
16965813;14,09,2021;13:46:01;buy;0,03;eurusd;1,18034;0;1,18174;14,09,2021;15:30:20;1,18174;-0,12;0;0;
16919186;13,09,2021;16:25:00;sell;0,03;eurusd;1,17908;0;1,18121;14,09,2021;12:42:11;1,18121;-0,12;0;-0,01;
16862948;10,09,2021;12:56:00;buy;0,03;eurusd;1,18354;0;1,17879;13,09,2021;16:19:08;1,17879;-0,12;0;-0,13;
16852934;10,09,2021;08:34:05;sell;0,03;eurusd;1,18337;0;1,18345;10,09,2021;12:56:53;1,18345;-0,12;0;0;
16849860;10,09,2021;04:17:02;buy;0,03;eurusd;1,18201;0;1,18334;10,09,2021;08:32:35;1,18334;-0,12;0;0;
16821854;09,09,2021;11:37:00;sell;0,03;eurusd;1,1833;0;1,18192;09,09,2021;14:39:01;1,18313;-0,12;0;0;
16802564;08,09,2021;18:19:00;sell;0,03;eurusd;1,18163;0;1,18168;08,09,2021;23:02:40;1,18168;-0,12;0;0;
16795449;08,09,2021;16:44:00;buy;0,03;eurusd;1,18105;0;1,18188;08,09,2021;18:49:46;1,18188;-0,12;0;0;
16792724;08,09,2021;15:49:00;sell;0,03;eurusd;1,18287;0;1,18163;08,09,2021;16:06:36;1,18163;-0,12;0;0;
16782348;08,09,2021;11:04:02;buy;0,03;eurusd;1,18276;0;1,18269;08,09,2021;15:04:01;1,18269;-0,12;0;0;
16757192;07,09,2021;17:27:00;buy;0,03;eurusd;1,1842;0;1,18424;08,09,2021;10:24:05;1,18424;-0,12;0;-0,13;
16746500;07,09,2021;14:48:03;buy;0,03;eurusd;1,18614;0;1,18585;07,09,2021;16:38:31;1,18585;-0,12;0;0;
16742455;07,09,2021;13:11:00;buy;0,03;eurusd;1,18631;0;1,18762;07,09,2021;14:02:33;1,18762;-0,12;0;0;
16737612;07,09,2021;11:27:00;buy;0,03;eurusd;1,18638;0;1,18775;07,09,2021;12:00:43;1,18775;-0,12;0;0;
16734960;07,09,2021;10:37:02;sell;0,03;eurusd;1,18814;0;1,1868;07,09,2021;11:03:53;1,1868;-0,12;0;0;
16732332;07,09,2021;09:29:03;buy;0,03;eurusd;1,1867;0;1,18797;07,09,2021;10:32:44;1,18797;-0,12;0;0;
16725977;07,09,2021;03:17:01;sell;0,03;eurusd;1,18782;0;1,18695;07,09,2021;09:27:14;1,18695;-0,12;0;0;
17593003;04,10,2021;16:04:02;buy;0,02;eurusd;1,16287;0;1,16372;04,10,2021;17:09:58;1,16372;-0,08;0;0;
17570004;04,10,2021;06:04:00;buy;0,02;eurusd;1,15933;0;1,16017;04,10,2021;09:31:59;1,16017;-0,08;0;0;
17557754;01,10,2021;19:16:01;buy;0,02;eurusd;1,15944;0;1,16075;04,10,2021;01:22:34;1,16075;-0,08;0;-0,08;
17552149;01,10,2021;17:07:00;sell;0,02;eurusd;1,15938;0;1,15983;04,10,2021;04:41:14;1,15983;-0,08;0;-0,01;
17551767;01,10,2021;17:05:00;buy;0,02;eurusd;1,15851;0;1,16019;01,10,2021;18:47:12;1,16019;-0,08;0;0;
17540943;01,10,2021;13:30:03;sell;0,02;eurusd;1,15851;0;1,15928;01,10,2021;17:04:09;1,15928;-0,08;0;0;
17535328;01,10,2021;10:52:00;buy;0,02;eurusd;1,15795;0;1,15887;01,10,2021;14:06:40;1,15887;-0,08;0;0;
17528790;01,10,2021;07:12:00;sell;0,02;eurusd;1,15795;0;1,15756;01,10,2021;11:03:21;1,15756;-0,08;0;0;
17523392;01,10,2021;03:11:02;buy;0,02;eurusd;1,15714;0;1,15801;01,10,2021;07:58:17;1,15801;-0,08;0;0;
17518224;30,09,2021;21:41:01;sell;0,02;eurusd;1,1575;0;1,15711;01,10,2021;03:11:47;1,15711;-0,08;0;-0,01;
17513269;30,09,2021;19:40:00;sell;0,02;eurusd;1,15739;0;1,15653;30,09,2021;20:50:17;1,15653;-0,08;0;0;
17508245;30,09,2021;18:37:00;buy;0,02;eurusd;1,15825;0;1,15802;30,09,2021;21:50:29;1,15802;-0,08;0;0;
17503804;30,09,2021;17:36:00;sell;0,02;eurusd;1,1594;0;1,15796;30,09,2021;18:45:09;1,15796;-0,08;0;0;
17500692;30,09,2021;16:59:00;buy;0,02;eurusd;1,15854;0;1,15939;30,09,2021;17:34:27;1,15939;-0,08;0;0;
17496439;30,09,2021;15:42:00;sell;0,02;eurusd;1,15894;0;1,15814;30,09,2021;17:00:54;1,15814;-0,08;0;0;
17484996;30,09,2021;10:28:00;sell;0,02;eurusd;1,16043;0;1,1596;30,09,2021;13:00:30;1,1596;-0,08;0;0;
17451652;29,09,2021;14:57:00;sell;0,02;eurusd;1,16521;0;1,16433;29,09,2021;15:52:26;1,16433;-0,08;0;0;
17441208;29,09,2021;10:30:00;sell;0,02;eurusd;1,16679;0;1,16544;29,09,2021;14:11:26;1,16544;-0,08;0;0;
17430330;28,09,2021;22:59:00;sell;0,02;eurusd;1,16861;0;1,16726;29,09,2021;10:03:38;1,16726;-0,08;0;-0,01;
17428219;28,09,2021;21:12:01;buy;0,02;eurusd;1,16773;0;1,15958;30,09,2021;16:34:26;1,15958;-0,08;0;-0,18;
17422978;28,09,2021;18:26:00;sell;0,02;eurusd;1,16807;0;1,16762;28,09,2021;21:12:26;1,16762;-0,08;0;0;
17419113;28,09,2021;17:37:00;buy;0,02;eurusd;1,16879;0;1,1686;28,09,2021;18:36:56;1,1686;-0,08;0;0;
17416452;28,09,2021;17:16:01;sell;0,02;eurusd;1,1682;0;1,16832;28,09,2021;17:43:44;1,16832;-0,08;0;0;
17413979;28,09,2021;16:37:00;buy;0,02;eurusd;1,1676;0;1,16898;28,09,2021;17:15:20;1,16898;-0,08;0;0;
17412375;28,09,2021;16:09:00;sell;0,02;eurusd;1,16864;0;1,16735;28,09,2021;16:45:57;1,16735;-0,08;0;0;
17407664;28,09,2021;15:15:00;buy;0,02;eurusd;1,1678;0;1,16862;28,09,2021;16:07:02;1,16862;-0,08;0;0;
17396650;28,09,2021;11:22:01;buy;0,02;eurusd;1,16787;0;1,16871;28,09,2021;14:33:07;1,16871;-0,08;0;0;
17395187;28,09,2021;10:56:00;sell;0,02;eurusd;1,16854;0;1,16767;28,09,2021;15:20:00;1,16767;-0,08;0;0;
17388434;28,09,2021;09:16:01;buy;0,02;eurusd;1,1693;0;1,16872;28,09,2021;10:59:58;1,16872;-0,08;0;0;
17386559;28,09,2021;08:09:03;sell;0,02;eurusd;1,17027;0;1,16897;28,09,2021;09:18:36;1,16897;-0,08;0;0;
17371652;27,09,2021;17:50:00;buy;0,02;eurusd;1,16999;0;1,17004;28,09,2021;08:00:52;1,17004;-0,08;0;-0,09;
17367434;27,09,2021;16:38:00;buy;0,02;eurusd;1,16948;0;1,17083;27,09,2021;17:18:38;1,17083;-0,08;0;0;
17364210;27,09,2021;15:39:00;sell;0,02;eurusd;1,17047;0;1,16955;27,09,2021;23:58:40;1,16955;-0,08;0;0;
17361315;27,09,2021;14:31:03;buy;0,02;eurusd;1,16954;0;1,1704;27,09,2021;15:38:36;1,1704;-0,08;0;0;
17359396;27,09,2021;13:51:02;sell;0,02;eurusd;1,17065;0;1,16932;27,09,2021;14:43:21;1,16932;-0,08;0;0;
17347315;27,09,2021;10:02:00;buy;0,02;eurusd;1,17069;0;1,17042;27,09,2021;13:42:48;1,17042;-0,08;0;0;
